Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S162264673,Snow Goose,Anser caerulescens,256,5,US-NY,Queens,L109145,Jamaica Bay Wildlife Refuge--West Pond,40.6188482,-73.8307995,2024-02-19,10:26 AM,eBird - Traveling Count,203,1,5.057,,2
S158812953,Brant,Branta bernicla,296,X,US-NY,Kings,L1902982,Brooklyn Bridge Park,40.6996104,-73.9973745,2024-01-13,03:13 PM,eBird - Traveling Count,48,1,2.542,,2
S166672764,Brant,Branta bernicla,296,13,US-NY,Kings,L29110432,"East River, New York US-NY (40.7349,-73.9624)",40.734936,-73.96236,2024-03-24,03:01 PM,eBird - Traveling Count,6,1,.464,,2
S159904692,Brant,Branta bernicla,296,X,US-NY,Kings,L1058531,Floyd Bennett Field--Boat Launch,40.5960975,-73.8814259,2024-01-22,08:19 AM,eBird - Traveling Count,62,0,1.59,,2
S173423201,Brant,Branta bernicla,296,60,US-NY,Kings,L444485,Plumb Beach,40.5823284,-73.9153746,2024-05-11,07:23 AM,eBird - Traveling Count,29,1,.793,,4
S193278094,Brant,Branta bernicla,296,2,US-NY,Kings,L444485,Plumb Beach,40.5823284,-73.9153746,2024-08-30,09:14 AM,eBird - Traveling Count,173,1,2.903,,3
S170794920,Brant,Branta bernicla,296,60,US-NY,Kings,L385839,Salt Marsh Nature Center at Marine Park,40.599946,-73.9243268,2024-04-28,09:26 AM,eBird - Traveling Count,302,1,7.268,,4,,,Absolutely lovely day on the salt marsh
S173558530,Brant,Branta bernicla,296,40,US-NY,Kings,L385839,Salt Marsh Nature Center at Marine Park,40.599946,-73.9243268,2024-05-11,08:04 AM,eBird - Traveling Count,266,1,5.759,,4
S177077083,Brant,Branta bernicla,296,3,US-NY,New York,L555894,Governors Island (N.Y. County),40.6885372,-74.0189759,2024-05-25,02:34 PM,eBird - Traveling Count,74,1,2.633,,2,,,Completely got fooled by the decoy purple Martin
S166849421,Brant,Branta bernicla,296,2,US-NY,New York,L15858389,"Hudson River Park--Pier 26, TriBeCa (featuring a Tide Deck)",40.7214282,-74.0153579,2024-04-01,03:14 PM,eBird - Traveling Count,18,1,.587,,1
S166846685,Brant,Branta bernicla,296,2,US-NY,New York,L2617135,Hudson River Park--Tribeca Upland (Chambers to W Houston St.),40.7238322,-74.0116863,2024-04-01,02:52 PM,eBird - Traveling Count,20,1,.805,,1
S136279592,Brant,Branta bernicla,296,X,US-NY,New York,L22032456,West Side Highway,40.733707,-74.010655,2023-05-06,,eBird - Casual Observation,,0,,,1
S162264673,Brant,Branta bernicla,296,X,US-NY,Queens,L109145,Jamaica Bay Wildlife Refuge--West Pond,40.6188482,-73.8307995,2024-02-19,10:26 AM,eBird - Traveling Count,203,1,5.057,,2
S169012044,Brant,Branta bernicla,296,100,US-NY,Queens,L5415453,LaGuardia Airport (LGA),40.7772619,-73.8739237,2024-04-17,07:59 AM,eBird - Traveling Count,46,1,.223,,1,,Estimated due to fence obscuring complete view
S162265881,Brant,Branta bernicla,296,X,US-NY,Queens,L12427956,Sunset Cove Park,40.5985632,-73.8231237,2024-02-19,02:14 PM,eBird - Traveling Count,33,1,1.256,,2
S167783681,Canada Goose,Branta canadensis,324,2,US-NY,Cayuga,L886774,Montezuma (NMWMA)--Howland Island--HQ Pond,43.0755965,-76.6778755,2024-04-08,01:59 PM,eBird - Traveling Count,32,0,1.322,,2,,,Didn’t have time at the end to count all the waterfowl in the pond cause the sun disappeared.
S165063480,Canada Goose,Branta canadensis,324,3,US-VA,Giles,L5458808,Narrows Boat Ramp,37.3367641,-80.8107331,2024-03-16,02:41 PM,eBird - Traveling Count,132,1,2.722,,1
S124783465,Canada Goose,Branta canadensis,324,X,US-AL,Jefferson,L21946837,Avondale,33.514602,-86.779028,2022-12-28,,eBird - Casual Observation,,0,,,1
S167182933,Canada Goose,Branta canadensis,324,2,US-NY,Kings,L2987635,Bushwick Inlet Park (btwn Quay St.-N 9th St.),40.7239903,-73.9602041,2024-04-04,05:43 PM,eBird - Traveling Count,3,1,.238,,1
S183053872,Canada Goose,Branta canadensis,324,20,US-NY,Kings,L609644,Canarsie Beach Park,40.6258911,-73.8972616,2024-06-22,08:13 AM,eBird - Traveling Count,117,1,2.265,,4
S164120801,Canada Goose,Branta canadensis,324,X,US-NY,Kings,L29110432,"East River, New York US-NY (40.7349,-73.9624)",40.734936,-73.96236,2024-03-08,01:00 PM,eBird - Traveling Count,5,1,.431,,2
S166672764,Canada Goose,Branta canadensis,324,4,US-NY,Kings,L29110432,"East River, New York US-NY (40.7349,-73.9624)",40.734936,-73.96236,2024-03-24,03:01 PM,eBird - Traveling Count,6,1,.464,,2
S189245468,Canada Goose,Branta canadensis,324,3,US-NY,Kings,L1099706,Floyd Bennett Field--Ecology Village Area,40.5863535,-73.8851488,2024-07-28,07:47 AM,eBird - Traveling Count,92,1,1.69,,5
